364	1200
368	1200
373	1200
377	1200
381	1200
386	1200
393	1200
397	1300
402	1300
409	1300
413	1300
419	1300
425	1300
429	1400
435	1400
442	1400
448	1400
453	1400
459	1400
463	1500
468	1500
474	1500
481	1600
486	1600
491	1600
495	1700
500	1700
506	1800
510	1800
516	1900
523	2000
527	2100
532	2200
536	2400
539	2500
541	2600
543	2800
545	3000
546	3200
548	3400
549	3200
550	3000
551	2700
552	2500
553	2300
555	2000
558	1800
561	1700
564	1600
566	1600
567	1600
569	1600
570	1600
572	1600
573	1600
575	1600
515	1600
576	1700
577	1900
578	3400
580	5800
581	7100
583	8600
584	1000
586	1100
587	1200
590	1100
594	1100
594	1000
595	1000
595	9100
596	7900
597	6500
598	4900
600	3400
601	2800
603	2300
604	2100
605	2000
606	1900
607	1800
608	1800
609	1700
611	1600
613	1600
616	1600
622	1600
624	1600
627	1600
632	1600
635	1600
644	1600
651	1600
655	1600
660	1600
664	1600
667	1600
678	1600
